"","komitet","procent"
"1","Liczba wyborców",2045
"2","Liczba kart oddanych",1083
"3","Liczba głosów ważnych",1035
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.84
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.61
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.68
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",46.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.52
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.87
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.1
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.77
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.9
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.29
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.45
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.48
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.64
