"","komitet","procent"
"1","Liczba wyborców",1358
"2","Liczba kart oddanych",719
"3","Liczba głosów ważnych",682
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.66
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.2
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.83
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.73
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.73
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.29
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.32
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.43
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.49
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.29
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.73
