"","komitet","procent"
"1","Liczba wyborców",1965
"2","Liczba kart oddanych",1163
"3","Liczba głosów ważnych",780
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.41
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",45.64
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.51
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",14.49
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.41
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.13
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.54
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.9
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.03
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.38
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.26
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.64
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.51
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.77
