"","komitet","procent"
"1","Liczba wyborców",733
"2","Liczba kart oddanych",488
"3","Liczba głosów ważnych",331
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.39
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",61.93
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.81
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.55
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",8.16
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.21
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.11
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.51
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.6
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.91
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.91
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.6
