"","komitet","procent"
"1","Liczba wyborców",1306
"2","Liczba kart oddanych",652
"3","Liczba głosów ważnych",465
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.85
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",40
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.51
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.68
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.63
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.43
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.08
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.08
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.65
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.94
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.65
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.65
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.01
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.72
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.15
