"","komitet","procent"
"1","Liczba wyborców",2006
"2","Liczba kart oddanych",1195
"3","Liczba głosów ważnych",1058
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",5.48
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",77.22
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.69
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9.45
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.57
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.09
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.8
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.38
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.57
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.09
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.09
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.47
