"","komitet","procent"
"1","Liczba wyborców",1248
"2","Liczba kart oddanych",551
"3","Liczba głosów ważnych",508
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.87
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.65
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.39
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",26.57
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.3
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.2
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.94
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.59
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.79
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"16","KOMITET WYBORCZY LEWICA",0.39
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.18
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.59
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.39
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.18
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.57
