"","komitet","procent"
"1","Liczba wyborców",760
"2","Liczba kart oddanych",455
"3","Liczba głosów ważnych",439
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.28
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.82
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.46
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50.11
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",10.93
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.59
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.46
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",8.2
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.23
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.23
