"","komitet","procent"
"1","Liczba wyborców",248
"2","Liczba kart oddanych",51
"3","Liczba głosów ważnych",43
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",25.58
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",11.63
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",11.63
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",34.88
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.33
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",2.33
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.65
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.33
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.33
