"","komitet","procent"
"1","Liczba wyborców",1359
"2","Liczba kart oddanych",635
"3","Liczba głosów ważnych",592
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",35.81
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.03
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.52
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",32.6
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.39
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.52
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.34
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.53
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.17
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.38
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.84
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.69
