"","komitet","procent"
"1","Liczba wyborców",1178
"2","Liczba kart oddanych",569
"3","Liczba głosów ważnych",533
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",6.75
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.63
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.56
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",52.53
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.52
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",4.13
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.38
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.56
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.25
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.31
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.38
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
