"","komitet","procent"
"1","Liczba wyborców",1131
"2","Liczba kart oddanych",526
"3","Liczba głosów ważnych",392
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.92
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",28.57
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",4.85
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",13.78
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.29
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.77
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.28
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.51
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.77
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.79
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.51
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.79
"16","KOMITET WYBORCZY LEWICA",2.04
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.28
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",3.83
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.02
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.04
