"","komitet","procent"
"1","Liczba wyborców",1530
"2","Liczba kart oddanych",788
"3","Liczba głosów ważnych",740
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.03
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.19
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.54
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.16
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.27
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.95
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.59
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.54
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.81
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.81
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.62
