"","komitet","procent"
"1","Liczba wyborców",1010
"2","Liczba kart oddanych",310
"3","Liczba głosów ważnych",269
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.91
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.35
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33.46
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.77
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.12
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.23
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.74
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.86
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.74
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",3.35
