"","komitet","procent"
"1","Liczba wyborców",2038
"2","Liczba kart oddanych",1088
"3","Liczba głosów ważnych",973
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.26
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",14.59
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.72
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.73
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.58
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.41
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.31
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.31
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.31
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.64
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.51
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.77
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.21
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.51
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.13
