"","komitet","procent"
"1","Liczba wyborców",1384
"2","Liczba kart oddanych",565
"3","Liczba głosów ważnych",466
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.03
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",31.76
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.64
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",19.74
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.03
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.72
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.43
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.43
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.21
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.72
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.21
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.15
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.07
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.86
