"","komitet","procent"
"1","Liczba wyborców",1414
"2","Liczba kart oddanych",650
"3","Liczba głosów ważnych",589
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.26
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.72
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.51
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.44
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.6
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.34
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.68
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.7
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.53
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.51
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.34
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.7
