"","komitet","procent"
"1","Liczba wyborców",1502
"2","Liczba kart oddanych",827
"3","Liczba głosów ważnych",805
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.36
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.36
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.5
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",49.44
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.52
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.5
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.37
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.12
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.98
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.37
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.87
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.75
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.86
