"","komitet","procent"
"1","Liczba wyborców",1627
"2","Liczba kart oddanych",831
"3","Liczba głosów ważnych",787
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.86
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.38
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.23
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.5
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.27
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.38
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.76
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.05
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.25
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.27
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.64
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.51
