"","komitet","procent"
"1","Liczba wyborców",2268
"2","Liczba kart oddanych",1253
"3","Liczba głosów ważnych",1110
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.72
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",18.02
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.27
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",22.25
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",42.7
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.36
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.99
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.54
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.27
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.27
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.26
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.9
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.99
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.45
