"","komitet","procent"
"1","Liczba wyborców",1218
"2","Liczba kart oddanych",494
"3","Liczba głosów ważnych",437
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.27
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",16.7
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",30.89
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.92
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.46
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.06
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.69
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.92
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.37
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.14
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.46
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.69
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.92
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.6
