"","komitet","procent"
"1","Liczba wyborców",1043
"2","Liczba kart oddanych",301
"3","Liczba głosów ważnych",230
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.48
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",22.17
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.43
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",24.35
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.17
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.43
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.74
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.3
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.43
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.74
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.87
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.87
