"","komitet","procent"
"1","Liczba wyborców",2355
"2","Liczba kart oddanych",1162
"3","Liczba głosów ważnych",1025
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.44
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",51.51
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.68
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.32
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.93
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.2
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.2
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.2
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.39
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.76
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.1
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.73
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.49
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.29
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.78
