"","komitet","procent"
"1","Liczba wyborców",1180
"2","Liczba kart oddanych",501
"3","Liczba głosów ważnych",451
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.86
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",15.08
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.44
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",32.15
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.49
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.44
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.67
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.55
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.55
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.22
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.55
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.44
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.33
