"","komitet","procent"
"1","Liczba wyborców",1194
"2","Liczba kart oddanych",560
"3","Liczba głosów ważnych",483
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.98
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",31.68
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.86
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",16.77
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.67
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.62
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.66
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.41
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.66
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.21
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.24
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.04
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.21
