"","komitet","procent"
"1","Liczba wyborców",654
"2","Liczba kart oddanych",390
"3","Liczba głosów ważnych",314
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.28
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",51.91
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.32
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.1
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.11
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.27
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",9.55
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.96
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.32
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.32
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.32
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.64
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.27
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.64
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0
