"","komitet","procent"
"1","Liczba wyborców",1057
"2","Liczba kart oddanych",511
"3","Liczba głosów ważnych",451
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.41
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",12.86
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.44
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",28.6
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.26
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.22
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.77
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.11
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.44
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.44
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.77
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.11
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.55
