"","komitet","procent"
"1","Liczba wyborców",1874
"2","Liczba kart oddanych",843
"3","Liczba głosów ważnych",752
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.35
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",18.22
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.53
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",23.27
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",32.71
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.46
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.8
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.13
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.53
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.46
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.8
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.53
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.06
