"","komitet","procent"
"1","Liczba wyborców",2218
"2","Liczba kart oddanych",885
"3","Liczba głosów ważnych",885
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.27
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.05
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.79
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.18
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",32.54
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.79
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.9
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.45
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.95
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.34
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.68
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.34
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.71
