"","komitet","procent"
"1","Liczba wyborców",1749
"2","Liczba kart oddanych",773
"3","Liczba głosów ważnych",728
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",28.98
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.51
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.32
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.22
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.41
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.41
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.02
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.14
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.1
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.41
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.92
