"","komitet","procent"
"1","Liczba wyborców",856
"2","Liczba kart oddanych",344
"3","Liczba głosów ważnych",300
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.33
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",74
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",8
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.33
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.67
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.33
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.33
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.67
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.33
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.67
