"","komitet","procent"
"1","Liczba wyborców",1254
"2","Liczba kart oddanych",657
"3","Liczba głosów ważnych",570
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.26
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",14.04
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.18
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",29.65
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",35.79
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.18
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.35
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.35
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.18
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.53
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.23
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.7
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.35
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.23
