"","komitet","procent"
"1","Liczba wyborców",1697
"2","Liczba kart oddanych",689
"3","Liczba głosów ważnych",578
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.07
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",11.59
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.87
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",29.93
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.76
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.52
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.56
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.21
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.35
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.35
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.25
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.35
"16","KOMITET WYBORCZY LEWICA",0.35
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.71
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.35
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.25
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.56
