"","komitet","procent"
"1","Liczba wyborców",1110
"2","Liczba kart oddanych",644
"3","Liczba głosów ważnych",558
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.57
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",7.71
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.43
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",39.96
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.45
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.05
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.9
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.08
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.56
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.72
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.36
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.72
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.51
