"","komitet","procent"
"1","Liczba wyborców",768
"2","Liczba kart oddanych",688
"3","Liczba głosów ważnych",NA
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.73
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",35.9
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",19.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.37
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.15
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.16
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.29
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.73
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.02
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.87
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.16
