"","komitet","procent"
"1","Liczba wyborców",2198
"2","Liczba kart oddanych",968
"3","Liczba głosów ważnych",907
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.65
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.32
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.77
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.65
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.45
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.88
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.11
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.55
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.08
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.33
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.11
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.11
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.98
