"","komitet","procent"
"1","Liczba wyborców",1718
"2","Liczba kart oddanych",635
"3","Liczba głosów ważnych",594
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.19
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.05
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.84
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",39.39
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.93
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.01
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.17
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.56
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.68
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.17
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.01
