"","komitet","procent"
"1","Liczba wyborców",2220
"2","Liczba kart oddanych",862
"3","Liczba głosów ważnych",798
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",39.22
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.26
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.75
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.95
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20.05
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.25
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.5
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.26
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.63
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.75
