"","komitet","procent"
"1","Liczba wyborców",2288
"2","Liczba kart oddanych",1398
"3","Liczba głosów ważnych",1352
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.9
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",6.95
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.15
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",53.11
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.57
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.22
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.44
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.96
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.85
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.52
