"","komitet","procent"
"1","Liczba wyborców",1191
"2","Liczba kart oddanych",571
"3","Liczba głosów ważnych",547
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.4
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.46
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.79
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.22
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.55
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.11
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.91
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.37
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.65
