"","komitet","procent"
"1","Liczba wyborców",866
"2","Liczba kart oddanych",359
"3","Liczba głosów ważnych",311
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.54
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",7.07
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.96
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.62
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.01
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.32
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.61
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.29
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.89
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.64
"16","KOMITET WYBORCZY LEWICA",3.54
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.29
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.32
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.93
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.96
