"","komitet","procent"
"1","Liczba wyborców",1695
"2","Liczba kart oddanych",887
"3","Liczba głosów ważnych",848
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",27.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.12
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.24
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.92
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20.05
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.83
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.24
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.59
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.89
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.24
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.59
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.12
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.59
