"","komitet","procent"
"1","Liczba wyborców",1195
"2","Liczba kart oddanych",571
"3","Liczba głosów ważnych",545
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",31.93
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.2
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.73
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.35
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.55
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.55
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.67
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.37
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.73
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.37
