"","komitet","procent"
"1","Liczba wyborców",1229
"2","Liczba kart oddanych",633
"3","Liczba głosów ważnych",601
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",28.79
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.16
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.45
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.62
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.33
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.17
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.83
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.83
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.16
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.33
