"","komitet","procent"
"1","Liczba wyborców",2056
"2","Liczba kart oddanych",908
"3","Liczba głosów ważnych",857
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.4
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.75
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.47
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.69
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.7
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.82
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.12
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.13
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.35
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.93
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.23
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.4
