"","komitet","procent"
"1","Liczba wyborców",1017
"2","Liczba kart oddanych",453
"3","Liczba głosów ważnych",419
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.53
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.43
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.75
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.83
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.95
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.48
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.58
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.24
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.48
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.48
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.24
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.72
