"","komitet","procent"
"1","Liczba wyborców",1762
"2","Liczba kart oddanych",1018
"3","Liczba głosów ważnych",998
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",16.13
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.5
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.1
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",57.62
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.03
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.4
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.7
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.01
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.2
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.61
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.7
