"","komitet","procent"
"1","Liczba wyborców",1874
"2","Liczba kart oddanych",1062
"3","Liczba głosów ważnych",1028
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",26.07
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.95
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.78
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.76
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.35
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.17
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.19
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.02
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.78
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.88
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.1
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.97
