"","komitet","procent"
"1","Liczba wyborców",1536
"2","Liczba kart oddanych",832
"3","Liczba głosów ważnych",778
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",27.63
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.31
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.03
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",37.02
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.49
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.16
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.64
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.26
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.98
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.8
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.13
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.39
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.77
