"","komitet","procent"
"1","Liczba wyborców",1565
"2","Liczba kart oddanych",826
"3","Liczba głosów ważnych",779
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",43.9
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.93
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",32.73
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.17
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.64
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.13
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.13
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.67
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.54
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.03
