"","komitet","procent"
"1","Liczba wyborców",2272
"2","Liczba kart oddanych",1152
"3","Liczba głosów ważnych",1090
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",30.73
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.02
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.55
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.1
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.9
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.73
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.09
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.64
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.75
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.37
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.92
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.18
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.01
