"","komitet","procent"
"1","Liczba wyborców",1535
"2","Liczba kart oddanych",744
"3","Liczba głosów ważnych",697
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.07
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.58
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.86
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",47.92
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.25
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.72
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.14
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.57
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.73
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.43
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.29
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.86
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.57
