"","komitet","procent"
"1","Liczba wyborców",2208
"2","Liczba kart oddanych",1106
"3","Liczba głosów ważnych",1056
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.89
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.46
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.47
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",48.39
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.22
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.61
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.09
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.66
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.36
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.42
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.28
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.76
