"","komitet","procent"
"1","Liczba wyborców",1797
"2","Liczba kart oddanych",970
"3","Liczba głosów ważnych",937
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.64
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.17
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.11
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",48.77
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.2
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.17
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.32
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.43
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.77
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.32
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.49
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.32
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.28
