"","komitet","procent"
"1","Liczba wyborców",2246
"2","Liczba kart oddanych",1230
"3","Liczba głosów ważnych",1158
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.99
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.52
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",55.79
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.59
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.78
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.52
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.26
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.94
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.35
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.9
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.26
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.12
