"","komitet","procent"
"1","Liczba wyborców",978
"2","Liczba kart oddanych",497
"3","Liczba głosów ważnych",450
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.56
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.89
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.67
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.11
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.56
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.56
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.44
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.22
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",6.22
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.11
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.22
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.67
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.78
