"","komitet","procent"
"1","Liczba wyborców",1742
"2","Liczba kart oddanych",823
"3","Liczba głosów ważnych",780
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.18
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.49
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.13
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.74
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",27.31
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.9
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.38
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.64
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.13
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.44
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.13
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.26
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.28
