"","komitet","procent"
"1","Liczba wyborców",1028
"2","Liczba kart oddanych",442
"3","Liczba głosów ważnych",402
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.95
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.98
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.5
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.03
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.62
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.24
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.97
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.25
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.23
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.49
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.75
