"","komitet","procent"
"1","Liczba wyborców",1548
"2","Liczba kart oddanych",1008
"3","Liczba głosów ważnych",839
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.63
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",40.52
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.86
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",11.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.53
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.6
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.24
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.19
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.67
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.12
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.19
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.6
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.95
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.48
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.83
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.83
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0.95
