"","komitet","procent"
"1","Liczba wyborców",946
"2","Liczba kart oddanych",609
"3","Liczba głosów ważnych",486
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.08
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",69.14
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",6.38
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.91
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",6.58
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.23
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.21
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.21
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.21
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.41
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.62
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.41
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.62
