"","komitet","procent"
"1","Liczba wyborców",731
"2","Liczba kart oddanych",281
"3","Liczba głosów ważnych",208
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.98
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",39.42
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.44
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",11.06
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.92
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.92
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.48
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.48
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.44
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",2.4
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.48
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.96
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
