"","komitet","procent"
"1","Liczba wyborców",474
"2","Liczba kart oddanych",296
"3","Liczba głosów ważnych",256
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.77
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",39.45
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.39
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",13.67
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.78
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.95
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.17
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.39
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.78
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.56
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.56
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.17
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.78
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.39
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.17
