"","komitet","procent"
"1","Liczba wyborców",2007
"2","Liczba kart oddanych",799
"3","Liczba głosów ważnych",758
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.03
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",8.71
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.19
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",26.25
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",41.69
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.13
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",4.22
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.66
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.26
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.85
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.66
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.45
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.92
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.66
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.32
