"","komitet","procent"
"1","Liczba wyborców",1080
"2","Liczba kart oddanych",676
"3","Liczba głosów ważnych",603
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",6.3
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",74.63
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.83
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.64
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",7.79
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.66
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.17
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.66
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.17
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.17
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.5
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.33
"16","KOMITET WYBORCZY LEWICA",0.17
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.17
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.33
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",1.49
